config,awmae,outcome,exact,levels,choices
gty_conf_home2,2.2530174154041562,62.58780821271982,14.332186129838293,"{'gender,tournament,year,conf_pair,is_home': 40926, 'gender,tournament,year': 1258, 'gender,archetype': 122, 'gender,tournament,era': 60, 'gender,tournament': 56}","{'E5': 15205, 'E4': 3729, 'metric_draw_off': 3102, 'risk1': 2885, 'v4': 2801, 'dynamic': 2688, 'metric_batch': 2565, 'risk3': 2456, 'v29': 2107, 'Plan01': 1699}"
gty_conf2,2.2661678062239705,62.253076234029514,14.186035547593228,"{'gender,tournament,year,conf_pair': 41868, 'gender,tournament,year': 448, 'gender,archetype': 56, 'gender,tournament': 30, 'gender,tournament,era': 20}","{'E5': 15750, 'E4': 4342, 'metric_draw_off': 3443, 'dynamic': 2916, 'v4': 2646, 'risk1': 2528, 'metric_batch': 2199, 'risk3': 1998, 'v29': 1809, 'Plan01': 1682}"
gty_conf4,2.286832173506179,61.953703267172685,13.804158219791617,"{'gender,tournament,year,conf_pair': 39830, 'gender,tournament,year': 2274, 'gender,archetype': 168, 'gender,tournament,era': 90, 'gender,tournament': 60}","{'E5': 15630, 'E4': 4648, 'metric_draw_off': 3476, 'dynamic': 2749, 'v4': 2614, 'risk1': 2535, 'risk3': 2048, 'metric_batch': 2035, 'v29': 1835, 'Plan01': 1629}"
gty_conf_home4,2.2875339153178653,62.113997454151146,13.686294847013341,"{'gender,tournament,year,conf_pair,is_home': 37630, 'gender,tournament,year': 4162, 'gender,archetype': 282, 'gender,tournament,era': 194, 'gender,tournament': 154}","{'E5': 15071, 'E4': 4174, 'metric_draw_off': 3161, 'risk1': 2846, 'v4': 2747, 'dynamic': 2489, 'risk3': 2486, 'metric_batch': 2318, 'v29': 2125, 'Plan01': 1577}"
gty_conf6,2.3006717292676107,61.75805006836076,13.533072462401584,"{'gender,tournament,year,conf_pair': 38186, 'gender,tournament,year': 3774, 'gender,archetype': 216, 'gender,tournament,era': 134, 'gender,tournament': 112}","{'E5': 15663, 'E4': 4845, 'metric_draw_off': 3514, 'v4': 2618, 'dynamic': 2593, 'risk1': 2518, 'risk3': 2040, 'metric_batch': 1914, 'v29': 1812, 'Plan01': 1589}"
gty_conf_home6,2.3046261060566846,61.77455094054971,13.353920135778605,"{'gender,tournament,year,conf_pair,is_home': 35460, 'gender,tournament,year': 6156, 'gender,archetype': 322, 'gender,tournament,era': 266, 'gender,tournament': 218}","{'E5': 15059, 'E4': 4449, 'metric_draw_off': 3209, 'risk1': 2836, 'v4': 2759, 'risk3': 2491, 'dynamic': 2279, 'v29': 2226, 'metric_batch': 2160, 'Plan01': 1435}"
gty_conf8,2.3122624629681283,61.560039602093255,13.33034746122295,"{'gender,tournament,year,conf_pair': 36680, 'gender,tournament,year': 5112, 'gender,archetype': 282, 'gender,tournament,era': 194, 'gender,tournament': 154}","{'E5': 15687, 'E4': 5022, 'metric_draw_off': 3570, 'v4': 2566, 'dynamic': 2544, 'risk1': 2439, 'risk3': 2015, 'v29': 1836, 'metric_batch': 1794, 'Plan01': 1539}"
gty_nh2,2.3135894119381377,61.517608787893074,13.113478855310923,"{'gender,tournament,year,neutral,is_home': 42254, 'gender,archetype': 78, 'gender,tournament,year': 42, 'gender,tournament': 24, 'gender,tournament,era': 24}","{'E5': 14698, 'E4': 4542, 'risk1': 3229, 'dynamic': 2596, 'v29': 2570, 'metric_draw_off': 2490, 'v4': 2378, 'Plan01': 1773, 'E1': 1759, 'metric_batch': 1570}"
gty_conf_home8,2.315359703464348,61.633114893215776,13.132336994955448,"{'gender,tournament,year,conf_pair,is_home': 33302, 'gender,tournament,year': 8314, 'gender,archetype': 322, 'gender,tournament,era': 266, 'gender,tournament': 218}","{'E5': 15195, 'E4': 4611, 'metric_draw_off': 3136, 'risk1': 2743, 'v4': 2700, 'risk3': 2490, 'v29': 2245, 'dynamic': 2134, 'metric_batch': 1986, 'Plan01': 1383}"
gty_conf10,2.3183551398420366,61.46574890387063,13.221913158266938,"{'gender,tournament,year,conf_pair': 35650, 'gender,tournament,year': 5966, 'gender,archetype': 322, 'gender,tournament,era': 266, 'gender,tournament': 218}","{'E5': 15794, 'E4': 5168, 'metric_draw_off': 3520, 'v4': 2566, 'dynamic': 2438, 'risk1': 2420, 'risk3': 2006, 'v29': 1861, 'metric_batch': 1697, 'Plan01': 1466}"
